country;region;subregion;surfareasqkm;poptotal;popdens;popgrowthpct;gdp;gdpgrowthpct;adolfertrate;agrivaladdpctgdp;exportspctgdp;fertrate;fdinetbop;gni_per_capatlas;gniatlas;importspctgdp;indvaladdpctgdp;inflconspricpct;lifeexpbirth;merchtradepctgdp;mobilesubs_per_100;mortrateu5;netmigr;urbanpopgrowthpct;
Bosnia and Herzegovina;Europe;Southern Europe;51210.0;3270943.0;6.388.560.546.875;-144.065.259.604.193;236.495.660.692.355;739.165.262.555.947;9.86;502.318.404.437.786;421.526.308.236.659;1.35;638.360.931.212.466;6900.0;225.599.720.535.882;539.124.564.388.207;24.773.608.699.072;48.603.338.005.645;75.3;915.154.211.990.142;1.139.969.422;5.6;-25865.0;-0.617820533475667;
Cote d'Ivoire;Africa;Sub-Saharan Africa;322460.0;27478249.0;864.095.880.503.145;2.455.303.010.444;71.811.075.954.676;699.999.999.501.503;104.968;174.665.199.791.398;225.897.743.997.414;4.418;139.243.514.338.301;2470.0;679.810.088.010.366;225.345.711.929.819;208.409.361.778.403;266.000.000.478.277;58.598;408.572.070.672.191;1.621.701.041;74.8;-21000.0;336.784.678.948.696;
Costa Rica;Americas;Latin America and the Caribbean;51100.0;5153957.0;100.939.228.358.794;0.600406861056438;646.164.821.677.475;778.079.756.393.568;37.148;431.693.940.227.754;367.687.724.578.057;1.533;359.280.225.809.677;12340.0;636.097.906.285.762;351.185.052.684.837;20.978.249.188.476;197.803.512.335.035;77.023;560.569.049.642.256;1.520.081.561;7.6;2084.0;1.406.834.717.935;
Congo; Rep.;Africa;Sub-Saharan Africa;342000.0;5835806.0;170.887.437.774.524;231.648.825.280.279;133.662.308.213.293;-220.000.260.638.274;103.633;951.190.538.027.263;584.575.926.691.703;4.171;5.319.813.912.909;1970.0;11.484.743.574.106;371.572.932.217.213;282.203.620.217.796;256.011.505.670.517;63.519;802.769.317.949.943;9.678.757.313;43.0;-4466.0;298.356.781.909.268
Congo; Dem. Rep.;Africa;Sub-Saharan Africa;2344860.0;95894118.0;422.990.750.093.734;322.252.815.991.252;553.509.685.930.597;620.015.401.075.946;108.962;190.436.301.293.451;40.385.829.565.187;6.156;167.767.378.973.561;560.0;53.932.092.879.157;400.954.818.555.036;453.420.353.474.724;149.754.345.531.209;59.193;574.208.560.534.299;4.889.330.021;79.0;-64643.0;45.221.655.167.406
Comoros;Africa;Sub-Saharan Africa;1861.0;821625.0;441.496.507.254.164;189.944.099.480.128;129.608.947.945.824;211.219.557.695.527;58.173;35.511.652.408.758;108.073.216.153.852;3.978;40.247.721.820.532;1580.0;129.948.009.081.826;314.704.071.109.001;926.757.877.710.919;0.0595773973808775;63.417;278.530.152.216.725;1.038.731.734;49.7;-1772.0;268.926.569.684.252;
Colombia;Americas;Latin America and the Caribbean;1140619.05;51516562.0;464.322.325.371.789;114.382.091.580.962;318.511.813.576.972;110.161.932.669.779;59.034;763.534.034.442.799;16.328.298.336.556;1.717;956.133.527.667.571;6220.0;320.384.271.082.535;239.172.688.594.366;248.576.622.566.423;766.762.201.531.684;72.83;318.317.863.508.376;1.456.931.676;12.8;211978.0;152.993.301.358.678;
China;Asia;Eastern Asia;9562910.0;1412360000.0;150.439.753.691.066;0.0892522000412526;17820459342451.2;844.747.829.343.031;11.048;724.102.165.175.677;199.439.734.595.214;1.164;344074977062.48;11930.0;16847611468496.3;173.580.167.118.706;392.907.729.215.123;455.328.427.986.601;78.211;339.211.794.928.319;1.215.382.526;6.9;-200194.0;183.853.028.231.533;
Chile;Americas;Latin America and the Caribbean;756700.0;19493184.0;262.170.074.724.423;0.994344898418259;316.713.577.508.673;117.374.310.651.402;24.082;364.534.920.125.264;319.796.676.873.792;1.537;159.330.214.245.106;14800.0;288.414.587.759.562;327.419.569.650.396;313.411.656.575.812;679.784.123.396.421;78.944;590.981.925.916.563;1.363.134.058;6.6;113709.0;109.688.301.329.068;
Chad;Africa;Sub-Saharan Africa;1284000.0;17179740.0;13.643.376.747.141;316.388.750.517.031;117.799.813.321.599;-11.999.905.246.095;138.306;253.036.076.848.784;387.501.272.510.812;6.255;7.051.007.593.043;660.0;112.799.114.612.092;442.346.496.159.658;395.854.117.676.595;71.999.883.084.863;52.525;392.275.664.086.534;6.022.303.015;107.1;9016.0;426.746.190.677.989;
Central African Republic;Africa;Sub-Saharan Africa;622980.0;5457154.0;87.597.579.376.545;211.363.722.558.977;251.649.841.231.361;0.900000006878756;160.507;300.669.213.875.585;141.864.800.005.416;5.978;54.099.802.504;480.0;261.221.996.618.855;304.990.500.008.134;20.160.720.982.795;327.056.490.963.547;53.895;230.876.362.630.343;3.355.228.751;99.9;-85860.0;317.437.224.700.531;
Cayman Islands;Americas;Latin America and the Caribbean;264.0;68136.0;283.9;121.820.372.930.296;602.837.354.147.434;402.866.428.913.582;11.74;0.447036171864339;7.857.402.853.938.570;3.148.383.435.923.520;25893089207.4;65190.0;444.184.103.086.027;700.719.571.138.516;85.331.521.209.889;26.152.820.942.475;6.392.115.426.446.540;259.605.677.921.752;1.467.652.929;27.402.135.950.568.500;276.0;121.820.372.930.298;
Canada;Americas;Northern America;15634410.0;38226498.0;434.950.538.759.999;0.575421916470359;2001486745423.92;501.180.087.532.744;6.978;0.6287167110607806;309.139.877.064.956;1.43;647.270.185.041.816;48720.0;1862215556300.7;309.554.282.763.353;19.032.908.383.607.200;815.333.924.257.004;825.966.097.560.976;505.424.281.381.258;8.809.065.504;5.0;195181.0;0.686929105514026;
Cameroon;Africa;Sub-Saharan Africa;475440.0;27198628.0;575.376.615.684.035;263.581.940.586.039;453.382.853.861.044;364.991.688.648.905;110.378;169.105.625.088.748;167.078.496.205.671;4.463;963.531.503.483.345;1590.0;432.155.305.245.967;203.620.273.595.776;244.981.379.370.419;335.613.174.349.108;60.333;249.193.367.234.454;799.676.844;69.8;-9889.0;365.217.621.911.604;
Cambodia;Asia;South-eastern Asia;181040.0;16589023.0;939.781.497.847.269;116.513.584.860.257;269.610.611.522.979;302.638.936.277.746;45.453;228.475.000.565.462;646.024.630.701.785;2.344;348.346.160.565.372;1580.0;262.667.826.361.654;67.611.442.731.584;368.347.844.223.392;129.194.500.388.832;69.584;177.626.539.732.537;1.199.575.768;24.8;-24262.0;294.841.235.644.415;
Cabo Verde;Africa;Sub-Saharan Africa;4030.0;587925.0;145.887.096.774.194;0.90298888332359;209.174.177.410.772;681.117.643.169.414;55.228;452.835.412.411.516;229.994.638.957.035;1.896;915.273.438.459.475;3490.0;205.035.444.499.593;539.684.305.373.631;187.024.557.458.042;0.409687032127053;74.052;418.789.742.999.553;1.003.820.215;13.5;-1274.0;157.581.340.878.324;
Burundi;Africa;Sub-Saharan Africa;27830.0;12551213.0;488.754.400.311.526;267.247.846.179.476;277.579.869.716.485;309.999.999.870.627;53.621;286.602.199.997.861;500.028.999.994.313;5.078;99.335.399.547;220.0;281.586.844.944.486;238.183.699.996.008;10.599.389.999.527;851.671.971.494.707;61.663;430.506.722.703.109;6.167.128.229;52.6;-14415.0;519.369.105.477.939;
Burkina Faso;Africa;Sub-Saharan Africa;274220.0;22100683.0;807.773.501.461.988;265.037.591.522.147;19.737.616.003.022;690.634.167.337.785;110.509;174.606.569.700.041;4.604.524.997.996.960;4.772;-799.573.553.390.048;830.0;183.932.953.387.118;6.485.875.214.573.580;320.090.238.120.754;-0.816610098684606;59.27;489.268.815.368.655;1.116.631.328;82.6;-13097.0;469.743.109.075.788;
Bulgaria;Europe;Eastern Europe;111000.0;6877743.0;633.543.017.686.072;-0.814846471528947;84.061.395.658.221;763.460.971.569.079;38.605;436.701.478.207.005;613.261.830.803.066;1.58;2499330000.0;11200.0;77.064.732.822.407;59.647.898.139.683;208.462.047.934.885;713.268.178.883.162;715.146.341.463.415;103.932.369.092.727;1.147.677.533;6.3;-8716.0;-0.367953364506645;
Brunei Darussalam;Asia;South-eastern Asia;5770.0;445373.0;845.110.056.925.996;0.822461681539278;140.064.970.002.477;-15.907.624.796.029;9.978;125.628.997.432.451;801.689.108.582.254;1.778;204.749.379.815.089;30320.0;135.021.108.893.756;669.542.018.049.515;627.015.640.831.986;154.659.285.339.655;74.642;140.170.665.082.445;135.501.254;11.5;-192.0;121.006.554.821.628;
Brazil;Americas;Latin America and the Caribbean;8515770.0;214326223.0;256.428.132.335.663;0.528590452919416;1649622972159.35;498.884.970.066.018;45.2;748.692.132.808.022;195.616.763.376.612;1.641;46439071565.28;7900.0;1692823917297.1;186.197.503.146.106;201.501.991.631.351;113.840.669.684.878;72.75;312.498.679.213.472;10.248.887;14.4;20376.0;0.808423004096535;
Botswana;Africa;Sub-Saharan Africa;581730.0;2588423.0;45.672.948.317.541;16.367.427.551.677;187.370.663.069.659;118.703.583.147;49.324;178.984.488.863.998;419.418.896.471.946;2.791;-319.055.857.574.533;6610.0;171.061.630.529.469;468.789.883.124.512;330.630.087.606.302;83.498.982.745.536;61.141;844.422.480.061.239;1.607.369.816;34.9;1816.0;259.576.280.118.226;
Jordan;Asia;Western Asia;89318.0;11148278.0;125.552.154.424.849;198.907.685.592.122;451.163.170.422.535;222.299.927.802.669;25.369;464.624.286.598.711;3.532.797.565.707.480;2.83;621.830.985.915.493;4120.0;459.442.201.052.877;45.898.693.333.746.700;239.321.355.927.655;127.415.537.495.045;74.256;684.896.330.767.884;6.526.176.509;14.6;14374.0;221.634.439.310.486;
United States;Americas;Northern America;9831510.0;332031554.0;362.978.363.298.067;0.156747054750178;23315080560000.0;594.548.476.122.172;15.966;0.959566656543433;108.927.266.773.296;1.664;493085000000.0;70900.0;23539918435375.2;145.886.735.893.826;178.846.533.610.262;44.927.922.357.685;763.292.682.926.829;201.140.801.891.357;107.319.451;6.2;561580.0;0.409258906239677;
Kazakhstan;Asia;Central Asia;2724900.0;19000988.0;703.818.498.351.669;129.950.843.805.955;197.112.255.360.612;430.000.000.015.886;21.877;503.000.193.996.331;335.468.517.088.049;3.32;4548971295.49;8880.0;168.692.843.280.578;239.970.496.138.763;352.669.295.966.944;139.300.750.520.326;70.23;516.436.686.363.141;1.274.765.953;10.3;-18917.0;1.559.265.648.523;
Kiribati;Oceania;Micronesia;810.0;128874.0;159.103.703.703.704;188.854.075.847.608;227.610.034.764.306;786.516.853.932.584;40.477;0.7305113995393052;115.511.551.155.116;3.304;103.137.596.193.946;2790.0;359.946.198.164.123;871.287.128.712.871;16.858.950.098.683.500;887.839.147.286.822;67.417;812.793.689.836.963;4.083.989.013;48.2;-296.0;321.215.521.595.277;
Spain;Europe;Southern Europe;505.964.594;47415750.0;948.821.207.500.056;0.105706398137095;1427380681294.55;55.195.949.732.682;6.281;261.144.375.154.328;349.334.875.650.665;1.19;439.095.069.105.327;29690.0;1407935636803.57;334.482.890.055.202;20.357.428.727.207;230.097.428.940.911;831.780.487.804.878;56.023.526.903.471;119.623.109;3.0;275022.0;0.409660414767995;
South Africa;Africa;Sub-Saharan Africa;1219090.0;59392255.0;489.594.795.110.008;0.998920418563044;419.015.636.064.711;49.130.966.839.178;61.206;246.760.956.334.131;311.938.142.964.234;2.374;406.587.891.449.382;6530.0;387.775.417.822.086;250.241.653.849.667;245.038.885.565.904;621.901.712.135.855;62.341;566.947.816.628.285;1.689.243.909;32.8;10934.0;172.820.735.429.586;
Somalia;Africa;Sub-Saharan Africa;637660.0;17065581.0;272.030.812.637.485;314.623.658.777.376;762.800.001.146.357;404.911.048.809.238;117.994;0.7125166600983398;20.083.901.415.811;6.312;601000000.0;430.0;740.950.322.286.544;857.891.976.926.704;2.046.071.166.334.820;766.047.405.155.359;55.28;3.176.151.864.920.980;5.182.360.917;111.8;-17071.0;441.681.805.674.587;
Solomon Islands;Oceania;Melanesia;28900.0;707851.0;252.894.247.945.695;23.817.422.996.453;158.030.351.717.092;-0.569742892674313;60.251;0.5125077191901412;261.848.909.432.739;3.983;279.190.722.390.487;2290.0;162.013.674.200.322;392.101.669.011.047;15.732.034.277.103.900;115.490.734.474.015;70.348;586.596.175.941.901;6.696.324.509;18.8;-808.0;422.123.257.899.854;
Slovenia;Europe;Southern Europe;20480.0;2108079.0;104.689.964.442.502;0.268851969969908;617.485.865.348.672;821.106.259.181.281;4.478;168.943.045.354.599;836.299.209.539.797;1.64;221.924.775.580.675;28280.0;596.077.866.647.517;772.903.011.848.667;284.817.492.192.969;260.708.736.010.702;808.756.097.560.976;18.609.656.746.574;1.230.185.759;2.2;4568.0;0.827932555072534;
Slovak Republic;Europe;Eastern Europe;49030.0;5447247.0;113.295.486.688.852;-0.212358807611049;118.656.591.909.266;486.326.376.553.154;26.307;177.725.342.049.381;923.538.676.444.879;1.64;970.903.540.764.155;20640.0;112422741496.54;923.646.378.080.707;297.671.682.014.374;238.531.547.916.578;747.146.341.463.415;175.112.057.962.095;1.351.475.011;5.6;1746.0;-0.100811873040948;
Singapore;Asia;South-eastern Asia;728.0;5453566.0;759.549.582.172.702;-417.033.630.017.526;423.796.995.372.726;888.235.399.664.532;2.623;0.0314737034748584;184.302.420.138.112;1.12;138.544.182.411.394;63000.0;343.555.443.634.106;149.037.189.201.569;24.364.088.925.858;878.436.557.494.857;834.414.634.146.342;203.772.799.106.441;147.480.416;2.1;19321.0;-417.033.630.017.526;
Sierra Leone;Africa;Sub-Saharan Africa;72300.0;8420641.0;116.661.692.989.748;224.176.737.112.654;424.923.457.398.708;410.470.008.884.118;100.905;574.487.866.394.187;169.281.420.172.564;3.978;212.289.192.761.103;510.0;429.234.866.640.012;41.462.686.053.721;593.370.309.498.287;669.151.089.014.703;60.062;588.341.254.517.808;9.770.150.515;104.7;-1544.0;328.238.029.195.017;
Seychelles;Africa;Sub-Saharan Africa;460.0;99258.0;215.778.260.869.565;0.805183391179401;128.668.787.318.447;540.000.000.000.001;53.444;288.364.735.525.517;111.519.683.648.542;2.46;111.455.091.564.216;13190.0;130.906.005.801.021;124.300.509.926.973;135.994.380.562.358;-0.92767260551318;733.975.609.756.097;124.117.125.317.077;1.726.683.573;13.9;146.0;15.428.972.566.442;
Sri Lanka;Asia;Southern Asia;65610.0;22156000.0;358.163.595.215.002;107.544.995.696.428;884.965.355.993.564;351.222.455.549.778;15.65;883.462.571.514.139;169.331.287.370.688;1.99;592289969.9;4000.0;885.839.831.742.454;243.253.780.598.176;299.747.031.154.378;849.611.863.641.124;76.399;374.432.736.553.825;1.412.920.218;6.7;-92400.0;185.795.175.912.168;
Serbia;Europe;Southern Europe;84990.0;6834326.0;812.739.445.831.847;-0.943688169512831;630.820.212.059.295;754.991.253.537.386;14.897;629.298.408.450.434;544.833.158.798.551;1.48;460.017.672.112.405;8460.0;577.976.631.963.403;62.279.193.803.209;249.983.808.065.231;591.361.478.499.212;727.307.317.073.171;941.012.967.961.468;1.237.205.974;5.5;243.0;-0.581176359749602;
Saudi Arabia;Asia;Western Asia;2149690.0;35950396.0;167.235.257.176.616;-0.129847471045763;868.585.871.464.541;392.172.411.922.971;11.937;269.679.637.353.154;329.848.341.398.527;2.427;192.856.435.846.399;23920.0;859.771.863.664.279;245.244.423.010.287;447.127.718.645.816;138.282.168.522.612;76.936;493.938.497.153.548;1.263.611.144;6.7;-153883.0;0.132008528859113;
Sao Tome and Principe;Africa;Sub-Saharan Africa;960.0;223107.0;232.403.125;202.203.616.729.568;526.653.790.670.814;187.792.250.238.419;79.418;139.478.624.078.624;61.720.349.269.164.300;3.823;590.001.327.402.932;2260.0;504.358.845.723.647;897.622.867.011.972;118.590.135.590.136;53.422.380.215.715;67.591;355.071.971.971.972;8.481.983.981;15.4;-792.0;298.451.835.694.329;
Samoa;Oceania;Polynesia;2840.0;218764.0;786.920.863.309.353;176.857.821.590.665;843.850.777.823.854;-708.458.799.747.405;43.589;985.364.310.144.212;116.867.011.726.595;3.93;894.892.465.459.641;3820.0;834.662.373.448.143;492.074.530.104.818;11.130.720.409.215;-0.40369952889796;72.767;470.462.326.317.687;3.154.083.853;16.7;-882.0;0.942255424728103;
Rwanda;Africa;Sub-Saharan Africa;26340.0;13461888.0;545.678.475.881.638;23.717.515.483.557;110.552.819.710.454;108.767.337.919.042;32.444;240.946.405.178.047;195.439.674.145.064;3.821;211.896.128.856.101;840.0;112.437.760.286.067;351.635.377.417.099;203.124.819.868.675;272.480.507.228.737;66.072;400.351.615.778.957;8.099.152.957;39.4;-6112.0;314.887.017.139.105;
Russian Federation;Europe;Eastern Europe;17098250.0;143449286.0;875.926.144.617.378;-0.43395152847745;1836892075547.52;561.429.037.578.345;14.988;38.700.012.438.745;298.948.963.376.326;1.493;40449990000.0;11820.0;1723763269840.74;206.628.478.509.923;317.721.346.712;189.905.167.887.065;693.612.195.121.951;434.627.058.730.182;1.689.847.242;5.1;320617.0;-0.193450840695678;
Romania;Europe;Eastern Europe;238400.0;19119880.0;831.010.083.449.235;-0.757432344210514;285.404.683.024.537;579.325.451.677.282;36.376;451.565.534.986.286;406.486.798.409.705;1.8;117.382.174.102.111;14200.0;271.409.596.252.652;463.278.750.320.868;267.279.988.654.225;521.190.311.633.165;729.609.756.097.561;713.341.483.547.055;1.186.275.646;6.4;-12724.0;-0.508637203794393;
Qatar;Asia;Western Asia;11490.0;2688235.0;233.963.011.314.186;-264.853.183.197.257;179.677.131.707.294;159.099.816.403.854;7.069;0.298330767152039;589.141.304.596.651;1.801;-109.340.659.340.659;62370.0;167.652.721.492.776;341.317.353.489.528;600.023.294.012.298;224.718.309.531.871;79.272;641.083.252.529.034;1.442.023.856;5.3;-30801.0;-260.520.560.824.411;
Puerto Rico;Americas;Latin America and the Caribbean;8870.0;3262693.0;367.834.611.048.478;-0.576507689869367;106368900000.0;0.432646953579919;18.926;0.667582347847914;544.480.576.559.502;0.907;4.457.177.748.126.250;22460.0;732.926.262.786.534;42.354.109.142.804;486.729.673.805.031;269.539.067.978.685;80.162;48.644.321.314.640.200;1.124.430.134;4.940.764.581.675.310;-7408.0;-0.56474650852934;
Portugal;Europe;Southern Europe;92230.0;10325147.0;112.713.054.660.414;0.272191902136354;253.982.847.571.015;55.027.574.751.908;7.444;218.767.529.400.963;416.337.384.351.212;1.38;785.096.659.300.144;23880.0;246.537.428.988.342;44.486.466.485.775;196.347.065.687.858;150.699.097.619.813;810.731.707.317.073;682.837.450.082.168;1.209.425.503;3.1;27295.0;108.176.782.494.225;
Senegal;Africa;Sub-Saharan Africa;196710.0;16876720.0;876.576.118.007.583;264.538.054.494.311;275.691.367.282.565;653.967.372.590.319;66.454;154.687.239.582.175;245.910.630.685.694;4.387;258.812.661.700.694;1560.0;264.110.243.217.979;445.337.668.953.525;24.299.794.112.114;162.967.174.168.189;67.093;540.495.705.283.637;117.676.782;38.6;-10091.0;363.378.509.292.416;
Poland;Europe;Eastern Europe;312710.0;37747124.0;123.316.314.929.762;-0.401728616642455;679.441.900.610.663;684.776.073.865.233;9.653;22.239.769.995.442;579.106.750.591.094;1.33;37113000000.0;16850.0;636.062.519.692.568;54.534.922.185.958;27.864.919.579.199;50.524.594.221.816;756.024.390.243.903;10.048.717.916.666;132.058.828;4.3;-2968.0;-0.348448299004671;
St. Kitts and Nevis;Americas;Latin America and the Caribbean;260.0;47606.0;183.1;-0.0755921420171568;860.844.444.444.444;-0.880100861116389;38.154;142.280.620.235.084;8.219.588.912.967.840;1.531;264.412.538.571.359;19020.0;905.360.804.172.461;6.905.782.588.998.440;225.932.331.732.838;-181.275.347.037.541;71.682;3.601.115.184.057;1.191.089.358;14.6;-90.0;0.12922095177243;
St. Vincent and the Grenadines;Americas;Latin America and the Caribbean;390.0;104332.0;267.517.948.717.949;-0.287130994918257;872.226.063.705.504;0.753734825330426;47.871;535.675.597.914.605;6.119.413.194.039.710;1.797;160.335.377.758.717;8490.0;885.470.172.597.269;8.030.169.543.575.300;133.657.343.160.316;-0.392455672948984;69.629;467.768.640.467.681;9.415.232.144;13.7;-379.0;0.503344702602103;
United Arab Emirates;Asia;Western Asia;98647.9;9365145.0;131.866.305.266.122;0.834812788038646;415.021.590.687.543;391.629.607.562.494;3.085;0.914025943548313;4.133.365.858.927.790;1.46;20667120490.1;43460.0;407.042.122.743.587;5.652.352.655.403.930;474.834.807.905.306;142.808.297.048.527;78.71;186.180.434.304.618;1.947.336.208;6.4;-2762.0;112.274.940.466.998;
Ukraine;Europe;Eastern Europe;603550.0;43792855.0;755.831.118.398.343;-0.771557698116678;199.765.856.764.501;34.456.255.827.111;15.642;108.857.721.063.269;406.883.404.768.688;1.16;7954000000.0;4130.0;170.901.639.783.252;420.096.208.865.812;231.537.142.195.647;248.047.508.277.652;696.478.048.780.488;705.405.830.016.901;135.025.689;8.2;831.0;-0.55773124602023;
Uganda;Africa;Sub-Saharan Africa;241550.0;45853778.0;228.674.336.724.516;3.211.427.903.809;405.102.413.659.029;353.658.034.070.898;107.938;238.418.038.271.498;157.810.081.695.276;4.585;110.045.861.084.604;860.0;395.493.777.571.739;259.326.225.729.506;27.149.441.688.847;254.511.929.619.305;62.705;320.215.322.412.728;6.570.386.414;42.1;43465.0;558.348.513.372.764;
Tuvalu;Oceania;Polynesia;30.0;11204.0;373.466.666.666.667;121.224.489.943.751;601.963.668.066.821;180.406.238.690.082;33.085;13.649.060.539.267.200;8.681.912.103.399.900;3.163;199431.0;6830.0;765.237.677.117.292;6.779.105.305.087.140;15.240.432.897.331.700;468.483.737.296.643;64.547;564.818.141.087.974;8.032.845.412;21.3;-15.0;241.210.718.594.233;
Turks and Caicos Islands;Americas;Latin America and the Caribbean;950.0;45114.0;474.884.210.526.316;187.498.501.005.673;1044778790.0;897.450.849.155.436;17.148;0.389355147609763;8.255.669.616.024.650;1.669;28690277.7;23000.0;103.773.859.938.924;6.895.683.065.942.440;147.946.916.112.261;369.397.537.476.172;74.587;398.170.410.790.977;31.047.952.957.272.300;4.5;682.0;211.760.541.879.885;
Turkmenistan;Asia;Central Asia;488100.0;6341855.0;134.953.184.516.843;145.197.711.119.455;2.891.988.150.790.240;6.488.372.084.705.500;21.769;7.335.865.779.960.170;2.759.858.345.137.500;2.667;1287334690.0;37.409.099.888.504.500;27.819.820.118.376.200;4.720.250.042.068.360;29.357.783.370.207.200;11.759.642.126.311.400;69.264;252.591.300.978.398;9.862.541.796;41.4;-4503.0;236.559.760.527.205;
Turkiye;Asia;Western Asia;785350.0;84775404.0;110.150.856.905.266;0.757771487830032;819.034.484.303.169;113.534.964.080.772;16.884;554.307.698.765.026;353.030.142.248.797;1.889;13325000000.0;9920.0;841.047.914.762.063;355.319.089.745.946;311.137.138.367.434;289.505.861.055.085;76.032;606.372.514.855.146;101.785.223;9.0;-69729.0;136.560.503.608.429;
Tunisia;Africa;Northern Africa;163610.0;12262946.0;789.324.536.560.247;0.828863470070942;466.872.987.093.541;440.536.200.269.952;6.685;101.385.812.099.848;421.255.789.818.198;2.086;533.089.200.085.883;3560.0;436.811.891.876.477;522.265.937.281.792;231.172.348.219.193;44.533.639.523.777;73.772;839.093.309.807.427;1.275.767.095;16.3;-9189.0;128.779.928.049.411;
Trinidad and Tobago;Americas;Latin America and the Caribbean;5130.0;1525663.0;297.400.194.931.774;0.493855744994371;244.601.962.701.157;-102.654.015.457.264;38.132;0.963379411767312;61.799.263.174.737.200;1.626;-934.781.798.364.976;15000.0;22.888.439.087.394;8.980.171.239.624.840;42.230.651.384.167;174.830.866.920.988;72.971;587.444.182.431.004;1.308.832.291;16.3;2632.0;0.589568825762537;
St. Lucia;Americas;Latin America and the Caribbean;620.0;179651.0;294.509.836.065.574;0.230712748065059;169.125.925.925.926;122.319.396.190.248;36.918;176.287.666.433.076;6.160.814.590.775.140;1.399;856.505.067.833.752;9750.0;17.515.527.381.659;8.970.788.386.842.410;123.248.072.880.168;-0.598138521884991;71.111;39.083.304.134.548;9.563.211.097;24.8;0.0;0.755210386246962;
Tonga;Oceania;Polynesia;750.0;106017.0;147.245.833.333.333;0.722298202056167;469.228.124.153.914;-266.750.617.523.127;18.965;163.232.484.642.545;125.226.642.915.549;3.237;258.487.567.441.336;4930.0;522.262.634.182.691;60.844.805.035.636;159.227.290.333.083;-194.621.179.322.091;70.986;558.363.803.261.844;6.067.706.123;11.1;-948.0;0.741700287919935;
Timor-Leste;Asia;South-eastern Asia;14870.0;1320942.0;888.326.832.548.756;159.847.001.383.189;3621222400.0;529.144.215.178.479;33.877;86.377.379.086.134;63.887.738.571.373;3.149;688.413.749.998.125;1140.0;150.957.139.505.051;362.787.162.699.535;622.529.563.497.674;593.425.271.564.991;67.737;411.187.117.366.776;1.049.381.426;50.5;-1997.0;278.888.691.359.542;
Thailand;Asia;South-eastern Asia;513120.0;71601103.0;140.149.744.563.409;0.175345074912752;505.568.057.004.254;149.209.523.545.821;32.744;870.837.567.114.464;586.379.928.936.189;1.331;146.408.730.820.382;7090.0;507.380.651.846.117;58.605.438.114.156;349.873.383.990.459;170.981.299.302.815;78.715;106.590.594.982.045;1.687.823.161;8.3;1133.0;159.052.125.513.576;
Tanzania;Africa;Sub-Saharan Africa;947300.0;63588334.0;717.863.332.580.718;300.728.723.340.751;706.556.281.405.826;432.138.429.480.482;123.652;247.884.506.158.783;141.200.223.265.815;4.726;1032913862.6;1120.0;689.973.495.223.485;157.951.616.808.233;272.961.418.878.518;267.430.327.389.397;66.201;232.324.026.153.151;8.499.103.625;47.1;-4865.0;505.003.787.136.275;
Tajikistan;Asia;Central Asia;141379.0;9750064.0;702.504.791.411.485;214.442.565.988.658;893.780.534.713.963;939.999.999.999.995;45.427;224.490.805.460.825;241.819.298.886.089;3.186;840.381.814.649.617;1160.0;112.819.966.430.944;476.440.075.467.741;35.177.682.602.153;100.445.091.026.418;71.594;711.584.080.541.136;1.188.094.765;31.4;-3564.0;29.410.605.641.589;
Syrian Arab Republic;Asia;Western Asia;185180.0;21324367.0;116.126.814.790.612;262.158.395.663.386;30.802.755.356.987.000;401.496.744.222.355;38.72;2.400.701.014.231.100;30.878.553.751.514.000;2.747;21.197.656.594.625.500;1.362.226.347.157.440;29.061.467.983.318.200;4.296.948.627.416.010;28.429.099.889.562.200;15.802.229.897.776.400;72.063;5.549.760.597.025.710;7.967.746.006;22.3;212187.0;378.469.280.318.205;
Switzerland;Europe;Western Europe;41290.7;8703405.0;220.285.662.001.897;0.752392087137583;800640155387.26;422.171.657.654.073;2.212;0.629199695536873;713.712.944.672.912;1.52;-134.262.930.569.876;88910.0;773.834.231.585.954;594.795.150.332.257;245.981.549.094.953;105.986.290.559.228;838.512.195.121.951;87.962.487.924.348;1.234.337.574;3.8;23872.0;0.861926355989954;
Sweden;Europe;Northern Europe;528860.72;10415811.0;255.738.569.744.311;0.600591532839468;636.856.236.396.239;538.584.018.366.288;3.345;128.772.400.055.657;462.771.601.819.101;1.67;524.779.002.099.333;60210.0;627.085.984.038.382;41.834.772.356.116;225.019.772.832.129;286.510.546.636.546;831.560.975.609.756;591.392.497.200.368;1.243.473.047;2.5;80097.0;0.896813771764536;
Suriname;Americas;Latin America and the Caribbean;163820.0;612985.0;392.939.102.564.103;0.970459647008266;298.470.624.365.482;-272.961.882.709.443;56.137;918.849.363.250.519;61.791.753.321.957.800;2.348;-1.327.056.174.897;4410.0;270.272.957.399.931;8.979.791.765.894.890;367.425.780.220.734;561.197.365.506.631;70.274;123.027.182.584.762;1.478.293.071;17.2;-492.0;107.644.572.384.519;
Sudan;Africa;Northern Africa;1878000.0;45657202.0;244.417.569.593.148;270.104.593.999.388;342.295.137.749.936;-18.685.204.827.207;79.908;635.709.212.800.824;22.498.704.277.993;4.457;522.869.616.855.921;650.0;298.651.394.467.542;187.767.821.048.496;736.874.367.318.585;235.515.443.582.343;65.267;435.910.369.574.123;7.555.500.225;54.9;-15223.0;366.087.923.334.274;
