country;region;subregion;surfareasqkm;poptotal;popdens;popgrowthpct;gdp;gdpgrowthpct;adolfertrate;agrivaladdpctgdp;exportspctgdp;fertrate;fdinetbop;gni_per_capatlas;gniatlas;importspctgdp;indvaladdpctgdp;inflconspricpct;lifeexpbirth;merchtradepctgdp;mobilesubs_per_100;mortrateu5;netmigr;urbanpopgrowthpct;
Israel;Asia;Western Asia;22070.0;9364700.0;432.749.537.892.791;161.038.582.783.125;488.526.545.878.891;861.199.034.846.989;7.614;126.100.864.987.675;294.589.933.381.113;3.0;21486300000.0;49280.0;461.515.003.039.673;255.039.319.471.133;171.721.204.881.357;212.829.471.719.861;82.5;311.782.443.113.664;1.404.485.071;3.4;16856.0;170.430.222.991.677;
Ireland;Europe;Northern Europe;70280.0;5033165.0;730.608.941.791.261;0.953898051735591;504.182.603.275.542;135.882.471.079.549;5.941;101.776.297.965.281;134.414.792.743.671;1.72;810.186.604.897.563;76110.0;383.083.777.411.857;95.031.243.719.261;377.918.092.505.945;0.657643226323756;821.024.390.243.903;616.786.453.915.089;1.077.677.124;3.1;15320.0;135.995.965.293.866;
Iraq;Asia;Western Asia;435050.0;43533592.0;100.278.240.518.925;226.888.921.028.968;207.691.599.310.345;15.833.933.630.431;62.192;331.078.056.420.252;376.811.100.014.973;3.496;-2637300000.0;4670.0;203.511.780.733.415;24.414.516.604.608;537.331.390.545.609;374.648.178.139.789;70.378;684.770.113.342.356;9.360.441.472;24.5;-60097.0;258.717.038.649.472;
Iran; Islamic Rep.;Asia;Southern Asia;1745150.0;87923432.0;541.900.967.642.527;0.722822505475776;359.096.907.772.985;471.977.773.157.164;30.155;123.930.959.952.543;228.392.319.889.567;1.692;1425000000.0;3530.0;310.041.540.444.768;215.346.020.619.098;380.137.347.471.642;563.196.546.439.665;73.875;33.590.932.527.956;1.545.542.763;12.6;28080.0;134.166.951.354.559
Indonesia;Asia;South-eastern Asia;1916906.77;273753191.0;144.647.380.401.484;0.694717688319757;1186505455720.81;370.305.535.690.933;33.929;132.802.165.425.549;214.081.231.102.766;2.175;212.130.803.298.583;4170.0;1142865784881.82;187.896.281.436.238;39.844.959.654.917;600.342.133.702.488;67.57;360.466.947.655.266;1.336.505.363;22.2;-14992.0;183.401.585.381.079;
India;Asia;Southern Asia;3287260.0;1407563842.0;473.418.732.741.601;0.797216093898126;3150306834279.65;905.027.790.774.051;17.234;173.262.632.465.423;215.143.885.990.188;2.031;44.727.277.562.881;2150.0;3019856778493.94;241.532.946.047.971;260.713.492.932.602;853.852.548.128.178;67.24;307.436.085.101.679;8.198.893.361;30.6;-301970.0;2.125.468.465.055;
Ghana;Africa;Sub-Saharan Africa;238530.0;32833031.0;144.300.083.943.867;200.774.487.031.161;791.564.094.098.581;535.647.787.361.356;64.176;197.087.753.759.578;299.076.197.158.287;3.563;261.278.979.255.474;2300.0;75.401.935.457.517;285.223.939.115.588;282.645.090.589.918;111.872.268.117.115;63.795;358.227.466.498.355;1.232.115.092;44.0;-11253.0;311.064.063.324.169;
Iceland;Europe;Northern Europe;103000.0;372520.0;369.453.535.654.071;16.393.166.402.584;25.552.639.899.067;43.334.020.120.878;5.395;432.641.540.106.879;373.710.398.716.261;1.82;108.528.895.866.518;63140.0;235.219.023.187.743;394.150.057.691.628;203.625.306.039.265;655.660.668.276.876;831.170.731.707.317;540.218.155.717.995;1.180.741.761;2.6;622.0;168.836.433.069.136;
Hong Kong SAR; China;Asia;Eastern Asia;1110.0;7413100.0;706.009.523.809.524;-0.91177674914823;368.911.387.845.418;644.172.382.600.794;1.584;0.0756027119334417;204.039.235.296.702;0.772;137.191.251.277.419;54370.0;403.081.769.616.365;19.846.970.765.324;599.022.465.304.005;0.683311451969558;854.926.829.268.293;374.686.454.672.199;3.194.262.706;2.110.985.905.645.570;0.0;-0.911776749148241
Honduras;Americas;Latin America and the Caribbean;112490.0;10278345.0;91.861.158.280.454;15.351.396.675.707;284.887.212.962.012;125.340.960.157.739;71.972;110.408.477.707.958;384.633.350.472.476;2.363;800.315.953.182.343;2460.0;253.206.717.806.038;619.173.410.027.831;265.804.574.601.895;380.092.357.279.183;70.123;887.684.629.192.963;7.355.959.801;16.6;-5779.0;259.699.909.152.842;
Haiti;Americas;Latin America and the Caribbean;27750.0;11447569.0;415.368.976.777.939;123.729.899.666.313;208.774.149.521.236;-179.823.988.931.486;52.545;206.814.288.752.646;713.755.100.325.103;2.814;51299000.0;1440.0;165.036.894.986.092;300.278.507.656.086;255.281.087.832.375;189.602.364.038.896;63.192;260.281.266.261.237;639.349.717;58.6;-32977.0;276.011.280.334.554;
Guyana;Americas;Latin America and the Caribbean;214970.0;804567.0;408.720.853.441.707;0.919614738982755;804.449.880.095.923;200.600.109.474.921;66.556;134.889.386.255.588;6.179.515.134.144.680;2.397;223.731.273.522.896;9410.0;756.730.341.268.729;8.979.963.375.981.520;503.700.042.568.972;224.654.350.317.594;65.673;108.546.227.876.357;1.063.926.311;27.7;-4316.0;133.275.453.140.369;
Guinea-Bissau;Africa;Sub-Saharan Africa;36130.0;2060721.0;732.831.081.081.081;220.258.924.567.144;163.851.760.688.578;380.000.243.004.048;87.537;0.5123415956284326;686.887.806.187.691;4.005;185.297.233.545.946;760.0;157.428.283.213.861;8.215.477.159.455.100;15.733.485.433.697.100;621.831.550.560.077;59.652;434.539.120.609.908;1.085.305.095;74.3;-1395.0;315.070.635.828.884;
Guinea;Africa;Sub-Saharan Africa;245860.0;13531906.0;550.704.297.574.475;244.431.721.949.133;160.918.178.422.348;390.000.000.000.006;114.829;273.199.176.325.347;429.897.509.443.992;4.399;197610000.0;990.0;134.124.798.783.161;628.132.595.504.085;28.835.169.122.323;114.999.999.999.998;58.892;896.480.443.753.056;1.019.442.494;98.7;-4367.0;34.937.015.726.281;
